Brand,Number,Location,Price,Description,ImageName
John Deere 265,800-307-2927,"Clermont, IA","4,000","265 DISC MOWER

3PT MOUNT
540 PTO","http://static.mascus.com/image/product/large/johndeereus/john-deere-265,3837549-1.jpg"
John Deere MX10,800-307-2927,"Clermont, IA","4,500","Type: 10 Ft • Type: Mounted (Integral) • Front safety shield chain
540  PTO

Front safety shield chain
540 PTO","http://static.mascus.com/image/product/large/johndeereus/john-deere-mx10,3257710-1.jpg"
John Deere 568,800-307-2927,"Clermont, IA","22,000","2007 JOHN DEERE 568 ROUND BALER / 14000 BALES / NET AND TWINE WRAP / PUSH BAR

PTO: 540
no hyd pick up,no slip clutch alert
31x13.5, 8pr hi-flotation tires
High moisture kit
Bale push bar","http://static.mascus.com/image/product/large/johndeereus/john-deere-568,3476065-1.jpg"
John Deere 1770NT,800-307-2927,"Clermont, IA","69,000","2010 JOHN DEERE 1770NT 12R30 / 3.0 BOXES / VARIABLE RATE DRIVE / VAC / PNEUMATIC DOWN FORCE / SEEDSTAR / ROW CLEANERS / 2600 DISPLAY AND ITC RECEIVER LESS ACTIVATIONS

Seed Tube with AccuCount Sensor
Pneumatic Down Force System
Steel Scrapers for Tru-Vee Openers
Marker independent of planter lift
Variable hyd. drive & 1/2-width disconnect
Unit Mounted Row Cleaner
Long parallel arms
Less fertilizer pump
Less liquid tank
Tru-v opener, walking gauge wheels
3.0 Bushel Seed Hoppers
Rubber tire closing wheels
Monitor, less tractor harness with display & radar
Vacuum sensor","http://static.mascus.com/image/product/large/johndeereus/john-deere-1770nt,3442080-1.jpg"
John Deere 6330 Premium,407-259-7775,"Friendship, TN","56,750",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6330-premium,15990_1.jpg"
John Deere 630,800-307-2927,"Clermont, IA","19,000","TURNBUCKLE ANGLE ADJUST, NARROW TURN LIMITERS

540 rpm pto
Clevis hitch
Impeller conditioner","http://static.mascus.com/image/product/large/johndeereus/john-deere-630,3212765-1.jpg"
John Deere 6330 Premium,407-259-7775,"Friendship, TN","56,750",Year 2008,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6330-premium,15989_1.jpg"
John Deere MX8,800-307-2927,"Clermont, IA","5,500","540 PTO,SEMI MOUNT,

Front safety shield chain
Rear safety shield chain","http://static.mascus.com/image/product/large/johndeereus/john-deere-mx8,2659786-1.jpg"
John Deere 9510,800-307-2927,"Clermont, IA","56,000","1999 John Deere 9510 / 3804 ENG 2563 SEP / DUALS / 20FT UNLOAD AUGER / 2WD

Axle: 2WD
Combine Type: Corn/Bean
Duals/Singles: Duals
Chopper/Spreader: Chopper
20ft(6.1M) perforated unloading auger
14.9 x 24 6 ply cleat
235 hp engine
Chopper
30.5 x 32 12ply cleat
Radiator narrow fin 5.5 per inch
Dial-a-matic header height control
Dial-a-speed header control
Hydraulic fore and aft reel control","http://static.mascus.com/image/product/large/johndeereus/john-deere-9510,3529632-1.jpg"
John Deere S690,407-259-7775,"Madisonville, KY","322,200",Year 2013,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-s690,11811_1.jpg"
John Deere 2210,800-307-2927,"Clermont, IA","18,000","COIL TINE HARROW

6 inch spacing","http://static.mascus.com/image/product/large/johndeereus/john-deere-2210,3822423-1.jpg"
John Deere 9650 STS,863-425-0500813-205- ***  ...click here,"Mulberry, Florida","130,000","Comes with 8 row corn head and 925 flex head 25', A/C, Very CleanWeight: 28,083","http://static.mascus.com/image/product/large/machinetrader/john-deere-9650-sts,t6129571_1.jpg"
John Deere Model A,407-259-7775,"Sycamore, IL","4,750",Year 1949,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-model-a,12781_1.jpg"
John Deere AMT 626,407-259-7775,"Los Angeles, CA","3,990",Year 1993,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-amt-626,7241_1.jpg"
John Deere 9770 STS,407-259-7775,"Greenleaf, ID","209,900",Year 2011,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9770-sts,16029_1.jpg"
John Deere 9760 STS,407-259-7775,"Greenleaf, ID","112,990",Year 2004,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9760-sts,16031_1.jpg"
John Deere 6330 Prem,407-259-7775,"Friendship, TN","54,750",Year 2010,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6330-prem,15988_1.jpg"
John Deere 4450 MFWD,407-259-7775,"Moses Lake, WA","34,520",Year 1984,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-4450-mfwd,9232_1.jpg"
John Deere 9650 STS,407-259-7775,"Greenleaf, ID","97,500",Year 2001,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-9650-sts,16030_1.jpg"
John Deere 468 Baler,407-259-7775,"Moses Lake, WA","7,000",Year 1990,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-468-baler,9225_1.jpg"
John Deere 567 Megawide,407-259-7775,"Oklahoma City, OK","19,500",Year 2005,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-567-megawide,15535_1.jpg"
John Deere 7720 Turbo,407-259-7775,"Moses Lake, WA","18,500",Year 1984,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7720-turbo,9219_1.jpg"
John Deere 7720 Turbo,407-259-7775,"Oakley, CA","13,400",Year 1979,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-7720-turbo,3298_1.jpg"
John Deere 9560 STS,800-307-2927,"Clermont, IA","145,000","2007 John Deere 9560 / RAHCO LEVELER / 2260 ENG 1518 SEP / DUALS / 21.5FT UNLOAD AUGER / 2WD / YIELD MONITOR

Axle: 2WD
Combine Type: Corn/Bean
Duals/Singles: Duals
Chopper/Spreader: Chopper
Fine cut chopper with chaff spreader
Side hill conversion duals
Xenon lighting
Contour master, HD variable speed feeder house
18.4R38 2 star cleat Drive tires
Header height resume, sensing+float
Greenstar less mapping with display
Adjustable rear HD spindles
18.4x26 R1 Steering tires
Touchset concave adjust
Round bar concave
Hydraulic fore and aft reel control
Deep tooth chaffer
21.5ft (6.6M) unloading auger","http://static.mascus.com/image/product/large/johndeereus/john-deere-9560-sts,3675462-1.jpg"
John Deere Killefer 1106X-02,407-259-7775,"Lompoc, CA","2,200",Year 1970,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-killefer-1106x-02,14135_1.jpg"
John Deere 1293 Corn Header,407-259-7775,"Greenleaf, ID","27,500",Year 2003,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-1293-corn-header,16028_1.jpg"
John Deere 630F Bean Head,407-259-7775,"Hull, IA","19,900",Year 2009,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-630f-bean-head,4378_1.jpg"
John Deere 6620 Titan II,407-259-7775,"Sauk Centre, MN","26,400",Year 1985,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-6620-titan-ii,15850_1.jpg"
John Deere GATOR XUV 850D 4x4,407-259-7775,"Mounds, OK","10,999",Year 2010,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-gator-xuv-850d-4x4,14572_1.jpg"
John Deere 215 Offset Tandem Disks,407-259-7775,"Plant City, FL","2,990",Year 1989,"http://static.mascus.com/image/product/large/equipenterprises/john-deere-215-offset-tandem-di,15899_1.jpg"
